,ultima_atualizacao,hora_pouso_real,registro_aeronave,tipo_aeronave,retirada_bagagem,codeshare,hora_pouso_estimado,tempo_previsto_esteira,direcao_voo,nome_voo,numero_voo,portao,pier,id,voo_operacional,voo_principal,prefixo_iata,prefixo_icao,codigo_companhia,estado_voo,rota,data_hora_programada,data_programada,hora_programada,tipo_servico,terminal,versao_schema,alocacao_checkin,filtro_seguranca_previsto
10,2025-12-05 04:00:19.701000+01:00,2025-12-05 03:45:02+01:00,PHCKB,"{'iataMain': '74F', 'iataSub': '74Y'}",{'belts': 'Não informado'},{'codeshares': 'Não informado'},2025-12-05 03:45:33+01:00,1900-01-01 01:00:00+01:00,A,MP9432,9432,Não informado,Não informado,143786860792360262,True,MP9432,MP,MPH,122,"{'flightStates': ['LND', 'EXP']}","{'destinations': ['HKG', 'DWC'], 'eu': 'N', 'visa': False}",2025-12-05 03:20:00+01:00,2025-12-05,2025-12-05 03:20:00,F,0,4,Não informado,Não informado
11,2025-12-05 03:42:32.698000+01:00,2025-12-05 03:26:28+01:00,PHCKC,"{'iataMain': '74F', 'iataSub': '74Y'}",{'belts': 'Não informado'},{'codeshares': 'Não informado'},2025-12-05 03:26:22+01:00,1900-01-01 01:00:00+01:00,A,MP8332,8332,Não informado,Não informado,143786860792256218,True,MP8332,MP,MPH,122,"{'flightStates': ['LND', 'EXP']}","{'destinations': ['JNB', 'NBO'], 'eu': 'N', 'visa': False}",2025-12-05 03:55:00+01:00,2025-12-05,2025-12-05 03:55:00,F,0,4,Não informado,Não informado
12,2025-12-05 04:57:23.735000+01:00,1900-01-01 01:00:00+01:00,PHHXK,"{'iataMain': '737', 'iataSub': '73H'}",{'belts': 'Não informado'},{'codeshares': 'Não informado'},1900-01-01 01:00:00+01:00,1900-01-01 01:00:00+01:00,D,HV093,93,Não informado,Não informado,143786858958002015,True,HV093,HV,TRA,164,{'flightStates': ['DEP']},"{'destinations': ['SVQ'], 'eu': 'S', 'visa': False}",2025-12-05 05:00:00+01:00,2025-12-05,2025-12-05 05:00:00,P,0,4,Não informado,Não informado
13,2025-12-05 05:09:31.688000+01:00,2025-12-05 04:55:31+01:00,OELYD,"{'iataMain': '76F', 'iataSub': '76Y'}",{'belts': 'Não informado'},{'codeshares': 'Não informado'},2025-12-05 04:56:01+01:00,1900-01-01 01:00:00+01:00,A,QY1446,1446,Não informado,Não informado,143786861380036450,True,QY1446,QY,BCS,289,"{'flightStates': ['LND', 'EXP']}","{'destinations': ['LEJ'], 'eu': 'S', 'visa': False}",2025-12-05 05:15:00+01:00,2025-12-05,2025-12-05 05:15:00,F,0,4,Não informado,Não informado
14,2025-12-05 08:02:24.245000+01:00,2025-12-05 05:19:04+01:00,FGSQY,"{'iataMain': '777', 'iataSub': '77W'}",{'belts': ['20']},{'codeshares': 'Não informado'},2025-12-05 05:19:20+01:00,2025-12-05 06:07:24.608000+01:00,A,AF279,279,A15,A,143786858930148204,True,AF279,AF,AFR,80,{'flightStates': ['ARR']},"{'destinations': ['HND'], 'eu': 'N', 'visa': False}",2025-12-05 05:15:00+01:00,2025-12-05,2025-12-05 05:15:00,J,4,4,Não informado,Não informado
15,2025-12-05 06:12:39.701000+01:00,2025-12-05 05:59:17+01:00,OEIXF,"{'iataMain': '73F', 'iataSub': '73K'}",{'belts': 'Não informado'},{'codeshares': 'Não informado'},2025-12-05 05:59:31+01:00,1900-01-01 01:00:00+01:00,A,FX4235,4235,Não informado,Não informado,143786859851019440,True,FX4235,FX,FDX,5326,"{'flightStates': ['LND', 'EXP']}","{'destinations': ['CDG'], 'eu': 'S', 'visa': False}",2025-12-05 05:20:00+01:00,2025-12-05,2025-12-05 05:20:00,F,0,4,Não informado,Não informado
16,2025-12-05 06:36:58.083000+01:00,2025-12-05 04:58:07+01:00,PHBHD,"{'iataMain': '787', 'iataSub': '789'}",{'belts': ['17']},"{'codeshares': ['AF3112', 'KE5925', 'SK6777']}",2025-12-05 04:58:21+01:00,2025-12-05 06:00:15.019000+01:00,A,KL0856,856,F7,F,143786860499090500,True,KL0856,KL,KLM,100,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['ICN'], 'eu': 'N', 'visa': False}",2025-12-05 05:20:00+01:00,2025-12-05,2025-12-05 05:20:00,J,3,4,Não informado,Não informado
17,2025-12-05 06:36:58.083000+01:00,2025-12-05 04:58:07+01:00,PHBHD,"{'iataMain': '787', 'iataSub': '789'}",{'belts': ['17']},"{'codeshares': ['AF3112', 'KE5925', 'SK6777']}",2025-12-05 04:58:21+01:00,2025-12-05 06:00:15.019000+01:00,A,AF3112,3112,F7,F,143786859090005876,True,KL0856,AF,AFR,80,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['ICN'], 'eu': 'N', 'visa': False}",2025-12-05 05:20:00+01:00,2025-12-05,2025-12-05 05:20:00,J,3,4,Não informado,Não informado
18,2025-12-05 06:36:58.083000+01:00,2025-12-05 04:58:07+01:00,PHBHD,"{'iataMain': '787', 'iataSub': '789'}",{'belts': ['17']},"{'codeshares': ['AF3112', 'KE5925', 'SK6777']}",2025-12-05 04:58:21+01:00,2025-12-05 06:00:15.019000+01:00,A,KE5925,5925,F7,F,143786860473361290,True,KL0856,KE,KAL,105,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['ICN'], 'eu': 'N', 'visa': False}",2025-12-05 05:20:00+01:00,2025-12-05,2025-12-05 05:20:00,J,3,4,Não informado,Não informado
19,2025-12-05 06:36:58.083000+01:00,2025-12-05 04:58:07+01:00,PHBHD,"{'iataMain': '787', 'iataSub': '789'}",{'belts': ['17']},"{'codeshares': ['AF3112', 'KE5925', 'SK6777']}",2025-12-05 04:58:21+01:00,2025-12-05 06:00:15.019000+01:00,A,SK6777,6777,F7,F,143786861605450738,True,KL0856,SK,SAS,150,"{'flightStates': ['ARR', 'EXP']}","{'destinations': ['ICN'], 'eu': 'N', 'visa': False}",2025-12-05 05:20:00+01:00,2025-12-05,2025-12-05 05:20:00,J,3,4,Não informado,Não informado
