,pais,codigo_iata,nome_publico,cidade
0,French Polynes,AAA,"Anaa, Tu",Não informado
1,Australia,AAB,"Arrabury, Ql",Não informado
2,Egypt,AAC,Al-Arish,Al-Arish
3,Sudan,AAD,Ad-Dabbah,Ad-Dabbah
4,Algeria,AAE,Annaba,Annaba
5,Usa,AAF,"Municipal, Fl",Apalachicola
6,Brazil,AAG,"Arapoti, Pr",Não informado
7,Germany,AAH,Merzbrueck,Aachen
8,Brazil,AAI,"Arraias, Td",Não informado
9,Surinam,AAJ,Cayana Airstrip,Awaradam
10,Kiribati,AAK,Aranuka,Não informado
11,Denmark,AAL,Aalborg,Aalborg
12,South Africa,AAM,Malamala,Não informado
13,United Arab Emirates (The),AAN,Al Ain,Al Ain
14,Venezuela,AAO,"Anaco, An",Não informado
15,Usa,AAP,"Andrau Airpark, Tx",Houston
16,Russia (Cis),AAQ,Vitiazevo,Anapa
17,Denmark,AAR,Aarhus,Aarhus
18,Indonesia,AAS,Apalapsili,Não informado
19,China,AAT,Altay,Não informado
